"Plot Title: QuestU_Remote_Weather_Station pre c-ston"
"#","Date Time, GMT-07:00","Rain, mm (LGR S/N: 10666706, SEN S/N: 10573345, LBL: Rain)","Temp, °C (LGR S/N: 10666706, SEN S/N: 10658214, LBL: Temp)","RH, % (LGR S/N: 10666706, SEN S/N: 10658214, LBL: RH)","Wind Direction, ø (LGR S/N: 10666706, SEN S/N: 10663457, LBL: Wind Direct.)","Wind Speed, m/s (LGR S/N: 10666706, SEN S/N: 10663496, LBL: Wind Speed)","Gust Speed, m/s (LGR S/N: 10666706, SEN S/N: 10663496, LBL: Gusts)"
1,09/23/15 09:04:59  AM,,12.243,84.600,64.6,0.76,6.30
2,09/23/15 09:19:59  AM,0.00,12.316,84.400,92.7,0.00,0.76
3,09/23/15 09:34:59  AM,0.00,12.340,84.700,1.4,0.00,1.51
4,09/23/15 09:49:59  AM,0.00,12.074,84.600,7.0,0.00,1.26
5,09/23/15 10:04:59  AM,0.00,12.413,86.300,325.7,0.00,1.26
6,09/23/15 10:19:59  AM,0.00,13.522,81.400,346.8,0.00,1.76
7,09/23/15 10:34:59  AM,0.00,14.361,75.500,307.5,0.25,2.27
8,09/23/15 10:49:59  AM,0.00,14.074,74.800,355.2,0.25,2.01
9,09/23/15 11:04:59  AM,0.00,14.385,74.500,25.3,0.00,1.51
10,09/23/15 11:19:59  AM,0.00,14.745,75.900,9.8,0.00,1.26
11,09/23/15 11:34:59  AM,0.00,14.218,73.400,341.2,0.00,1.76
12,09/23/15 11:49:59  AM,0.00,14.601,73.600,334.1,0.00,1.51
13,09/23/15 12:04:59  PM,0.00,14.625,72.700,352.4,0.00,1.51
14,09/23/15 12:19:59  PM,0.00,15.031,69.600,328.5,0.00,1.76
15,09/23/15 12:34:59  PM,0.00,15.724,66.600,338.3,0.00,1.76
16,09/23/15 12:49:59  PM,0.00,16.439,64.800,338.3,0.00,1.01
17,09/23/15 01:04:59  PM,0.00,16.153,62.700,336.9,0.25,1.76
18,09/23/15 01:19:59  PM,0.00,16.773,62.900,61.8,0.00,1.51
19,09/23/15 01:34:59  PM,0.00,15.986,59.700,33.7,0.00,2.01
20,09/23/15 01:49:59  PM,0.00,15.438,66.300,5.6,0.00,1.51
21,09/23/15 02:04:59  PM,0.00,14.553,71.400,283.6,0.00,0.76
22,09/23/15 02:19:59  PM,0.00,13.642,77.600,262.5,0.50,3.27
23,09/23/15 02:34:59  PM,0.00,13.594,84.300,219.0,0.00,2.01
24,09/23/15 02:49:59  PM,0.00,13.546,79.600,108.1,0.00,1.01
25,09/23/15 03:04:59  PM,0.00,13.401,83.100,154.4,0.00,1.26
26,09/23/15 03:19:59  PM,0.00,12.316,88.800,182.5,0.00,2.77
27,09/23/15 03:34:59  PM,0.40,11.613,91.600,134.8,0.00,1.26
28,09/23/15 03:49:59  PM,0.00,11.904,90.700,190.9,0.25,2.01
29,09/23/15 04:04:59  PM,0.00,11.662,93.600,143.2,0.00,1.26
30,09/23/15 04:19:59  PM,0.00,11.807,92.500,185.3,0.00,0.00
31,09/23/15 04:34:59  PM,0.00,11.832,94.200,188.1,0.00,0.00
32,09/23/15 04:49:59  PM,0.20,11.759,94.900,84.2,0.00,0.50
33,09/23/15 05:04:59  PM,0.00,11.686,94.600,81.4,0.00,1.26
34,09/23/15 05:19:59  PM,0.00,11.589,94.700,88.4,0.00,0.00
35,09/23/15 05:34:59  PM,0.00,11.419,96.300,63.2,0.00,0.00
36,09/23/15 05:49:59  PM,0.40,11.346,96.400,30.9,0.00,0.00
37,09/23/15 06:04:59  PM,0.20,11.273,97.000,32.3,0.00,0.00
38,09/23/15 06:19:59  PM,0.20,11.321,96.800,32.3,0.00,0.00
39,09/23/15 06:34:59  PM,0.00,11.224,97.100,32.3,0.00,0.00
40,09/23/15 06:49:59  PM,0.00,11.078,97.800,32.3,0.00,0.00
41,09/23/15 07:04:59  PM,0.00,11.005,98.200,32.3,0.00,0.00
42,09/23/15 07:19:59  PM,0.00,10.932,98.000,32.3,0.00,0.00
43,09/23/15 07:34:59  PM,0.00,10.810,98.200,32.3,0.00,0.00
44,09/23/15 07:49:59  PM,0.00,10.736,98.400,32.3,0.00,0.00
45,09/23/15 08:04:59  PM,0.00,10.785,98.400,262.5,0.00,0.00
46,09/23/15 08:19:59  PM,0.20,10.736,98.500,245.7,0.00,0.00
47,09/23/15 08:34:59  PM,0.20,10.663,98.700,245.7,0.00,0.00
48,09/23/15 08:49:59  PM,0.00,10.614,98.800,245.7,0.00,0.00
49,09/23/15 09:04:59  PM,0.00,10.565,98.700,245.7,0.00,0.00
50,09/23/15 09:19:59  PM,0.00,10.492,99.000,245.7,0.00,0.00
51,09/23/15 09:34:59  PM,0.00,10.541,99.200,245.7,0.00,0.00
52,09/23/15 09:49:59  PM,0.00,10.565,99.400,245.7,0.00,0.00
53,09/23/15 10:04:59  PM,0.00,10.590,99.700,245.7,0.00,0.00
54,09/23/15 10:19:59  PM,0.00,10.663,99.800,242.9,0.00,0.25
55,09/23/15 10:34:59  PM,0.00,10.614,99.700,242.9,0.00,0.00
56,09/23/15 10:49:59  PM,0.00,10.663,99.800,242.9,0.00,0.00
57,09/23/15 11:04:59  PM,0.00,10.614,99.700,242.9,0.00,0.00
58,09/23/15 11:19:59  PM,0.20,10.590,99.700,242.9,0.00,0.00
59,09/23/15 11:34:59  PM,0.00,10.492,99.700,242.9,0.00,0.00
60,09/23/15 11:49:59  PM,0.00,10.345,99.800,242.9,0.00,0.00
61,09/24/15 12:04:59  AM,0.00,10.271,99.800,242.9,0.00,0.00
62,09/24/15 12:19:59  AM,0.00,10.198,99.900,242.9,0.00,0.00
63,09/24/15 12:34:59  AM,0.00,10.051,100.000,242.9,0.00,0.00
64,09/24/15 12:49:59  AM,0.00,9.952,100.000,240.1,0.00,0.00
65,09/24/15 01:04:59  AM,0.00,9.756,100.000,238.7,0.00,0.00
66,09/24/15 01:19:59  AM,0.00,9.805,100.000,238.7,0.00,0.00
67,09/24/15 01:34:59  AM,0.00,9.780,100.000,238.7,0.00,0.00
68,09/24/15 01:49:59  AM,0.00,9.706,100.000,238.7,0.00,0.00
69,09/24/15 02:04:59  AM,0.00,9.780,100.000,164.3,0.00,0.00
70,09/24/15 02:19:59  AM,0.00,9.731,100.000,136.2,0.00,0.00
71,09/24/15 02:34:59  AM,0.00,9.829,100.000,136.2,0.00,0.00
72,09/24/15 02:49:59  AM,0.00,9.756,100.000,136.2,0.00,0.00
73,09/24/15 03:04:59  AM,0.00,9.706,100.000,136.2,0.00,0.00
74,09/24/15 03:19:59  AM,0.00,9.780,100.000,136.2,0.00,0.00
75,09/24/15 03:34:59  AM,0.00,9.879,100.000,136.2,0.00,0.00
76,09/24/15 03:49:59  AM,0.00,9.829,100.000,136.2,0.00,0.00
77,09/24/15 04:04:59  AM,0.00,9.854,100.000,136.2,0.00,0.00
78,09/24/15 04:19:59  AM,0.00,9.805,100.000,136.2,0.00,0.00
79,09/24/15 04:34:59  AM,0.00,9.756,100.000,136.2,0.00,0.00
80,09/24/15 04:49:59  AM,0.00,9.780,100.000,136.2,0.00,0.00
81,09/24/15 05:04:59  AM,0.00,9.952,100.000,136.2,0.00,0.25
82,09/24/15 05:19:59  AM,0.00,9.829,100.000,136.2,0.00,0.00
83,09/24/15 05:34:59  AM,0.00,9.928,100.000,136.2,0.00,0.00
84,09/24/15 05:49:59  AM,0.00,9.903,100.000,136.2,0.00,0.00
85,09/24/15 06:04:59  AM,0.20,9.829,100.000,136.2,0.00,0.00
86,09/24/15 06:19:59  AM,0.00,9.952,100.000,136.2,0.00,0.00
87,09/24/15 06:34:59  AM,0.20,9.928,100.000,136.2,0.00,0.00
88,09/24/15 06:49:59  AM,0.20,9.977,100.000,271.0,0.00,0.76
89,09/24/15 07:04:59  AM,0.20,9.952,100.000,71.6,0.00,0.50
90,09/24/15 07:19:59  AM,0.00,9.977,100.000,88.4,0.00,0.00
91,09/24/15 07:34:59  AM,0.20,10.075,100.000,78.6,0.00,0.25
92,09/24/15 07:49:59  AM,0.00,10.026,100.000,12.6,0.00,0.00
93,09/24/15 08:04:59  AM,0.00,10.051,100.000,0.0,0.00,0.00
94,09/24/15 08:19:59  AM,0.00,10.124,100.000,0.0,0.00,0.00
95,09/24/15 08:34:59  AM,0.20,10.198,100.000,335.5,0.00,1.26
96,09/24/15 08:49:59  AM,0.00,10.222,100.000,278.0,0.00,0.76
97,09/24/15 09:04:59  AM,0.00,10.296,100.000,315.9,0.00,1.26
98,09/24/15 09:19:59  AM,0.00,10.614,100.000,297.6,0.00,1.26
99,09/24/15 09:34:59  AM,0.00,10.712,100.000,43.5,0.00,0.50
100,09/24/15 09:49:59  AM,0.00,10.810,100.000,345.4,0.00,0.50
101,09/24/15 10:04:59  AM,0.00,10.858,100.000,196.5,0.00,0.50
102,09/24/15 10:19:59  AM,0.00,10.883,100.000,136.2,0.00,0.50
103,09/24/15 10:34:59  AM,0.20,10.980,100.000,355.2,0.00,0.50
104,09/24/15 10:49:59  AM,0.00,10.932,100.000,0.0,0.00,0.25
105,09/24/15 11:04:59  AM,0.00,10.932,100.000,39.3,0.00,0.50
106,09/24/15 11:19:59  AM,0.00,10.834,100.000,320.1,0.00,0.25
107,09/24/15 11:34:59  AM,0.20,11.053,100.000,279.4,0.00,0.25
108,09/24/15 11:49:59  AM,0.00,11.151,100.000,321.5,0.00,0.50
109,09/24/15 12:04:59  PM,0.00,11.200,100.000,317.3,0.00,0.25
110,09/24/15 12:19:59  PM,0.00,11.637,100.000,289.2,0.00,0.00
111,09/24/15 12:34:59  PM,0.20,11.492,100.000,231.6,0.00,0.00
112,09/24/15 12:49:59  PM,0.00,11.419,100.000,266.7,0.00,1.51
113,09/24/15 01:04:59  PM,0.00,11.686,100.000,19.7,0.00,1.51
114,09/24/15 01:19:59  PM,0.40,11.783,100.000,324.3,0.00,1.76
115,09/24/15 01:34:59  PM,0.40,11.904,100.000,263.9,0.25,2.77
116,09/24/15 01:49:59  PM,0.20,12.195,100.000,242.9,0.00,1.26
117,09/24/15 02:04:59  PM,0.20,12.050,100.000,296.2,0.00,0.76
118,09/24/15 02:19:59  PM,0.20,12.268,100.000,325.7,0.00,1.01
119,09/24/15 02:34:59  PM,0.20,12.485,100.000,355.2,0.00,1.01
120,09/24/15 02:49:59  PM,0.40,12.558,100.000,342.6,0.00,0.50
121,09/24/15 03:04:59  PM,0.40,12.582,100.000,308.9,0.00,1.76
122,09/24/15 03:19:59  PM,0.40,12.847,100.000,278.0,0.00,1.01
123,09/24/15 03:34:59  PM,0.20,13.112,100.000,200.8,0.00,1.01
124,09/24/15 03:49:59  PM,0.40,13.088,100.000,303.2,0.00,0.00
125,09/24/15 04:04:59  PM,0.20,12.968,100.000,303.2,0.00,0.00
126,09/24/15 04:19:59  PM,0.60,12.751,99.900,244.3,0.00,0.00
127,09/24/15 04:34:59  PM,1.00,12.606,100.000,235.9,0.00,0.00
128,09/24/15 04:49:59  PM,1.00,12.558,100.000,213.4,0.00,0.00
